edge_uid,activity_type,hour,total_trip_count,forward_trip_count,reverse_trip_count,forward_people_count,reverse_people_count,forward_commute_trip_count,reverse_commute_trip_count,forward_leisure_trip_count,reverse_leisure_trip_count,forward_male_people_count,reverse_male_people_count,forward_female_people_count,reverse_female_people_count,forward_unspecified_people_count,reverse_unspecified_people_count,forward_18_34_people_count,reverse_18_34_people_count,forward_35_54_people_count,reverse_35_54_people_count,forward_55_64_people_count,reverse_55_64_people_count,forward_65_plus_people_count,reverse_65_plus_people_count,forward_average_speed_meters_per_second,reverse_average_speed_meters_per_second,osm_reference_id,ride_count,ebike_ride_count
411334646,"Ride,EBikeRide",2022-11-06T08,10,5,5,5,5,0,0,5,5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,6.94,0.0,491212832,10,0
411334646,"Ride,EBikeRide",2022-05-02T15,5,5,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5.72,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-03-14T18,10,5,5,5,5,0,0,5,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,5.27,0.0,491212832,10,0
411334646,"Ride,EBikeRide",2022-04-14T16,5,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,8.65,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-04-18T19,5,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-08-21T14,40,15,20,15,20,0,0,15,20,15,15,5,5,0,0,5,15,5,5,0,0,0,0,5.72,6.09,491212832,35,0
411334646,"Ride,EBikeRide",2022-05-05T13,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-05-10T15,15,10,5,10,5,0,0,5,5,5,5,5,0,0,0,5,0,0,5,0,0,0,0,6.06,5.78,491212832,15,0
411334646,"Ride,EBikeRide",2022-06-21T16,5,5,5,5,5,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,0.0,491212832,10,0
411334646,"Ride,EBikeRide",2022-12-11T13,5,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0.0,6.74,491212832,5,0
411334646,"Ride,EBikeRide",2022-11-08T08,20,10,10,5,5,5,5,5,5,5,5,0,0,0,0,0,5,5,5,0,0,0,0,6.21,7.21,491212832,20,0
411334646,"Ride,EBikeRide",2022-05-21T08,10,5,5,5,5,0,0,5,5,0,5,5,5,0,0,0,5,0,0,0,0,0,0,3.02,5.99,491212832,10,0
411334646,"Ride,EBikeRide",2022-09-14T18,35,30,5,30,5,5,0,25,5,20,5,5,0,0,0,10,5,15,0,0,0,0,0,6.54,6.96,491212832,35,0
411334646,"Ride,EBikeRide",2022-08-17T10,10,5,5,5,5,0,0,5,5,5,5,0,5,0,0,0,5,5,0,0,0,0,0,6.27,6.77,491212832,10,0
411334646,"Ride,EBikeRide",2022-11-10T09,10,5,5,5,5,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0.0,5.35,491212832,10,0
411334646,"Ride,EBikeRide",2022-05-16T19,65,55,10,55,10,0,0,55,10,40,5,15,5,0,0,35,10,15,0,0,0,0,0,6.23,6.23,491212832,65,0
411334646,"Ride,EBikeRide",2022-07-13T21,10,10,5,10,5,5,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,2.49,0.0,491212832,15,0
411334646,"Ride,EBikeRide",2022-05-10T09,15,5,10,5,10,0,0,5,5,5,5,0,0,0,0,0,0,0,5,0,0,0,0,7.16,6.89,491212832,15,0
411334646,"Ride,EBikeRide",2022-06-10T09,10,5,5,5,5,0,5,5,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,6.85,5.53,491212832,10,0
411334646,"Ride,EBikeRide",2022-07-25T09,15,10,5,10,5,5,5,5,5,10,5,0,0,0,0,0,0,5,5,5,0,0,0,5.9,6.71,491212832,15,0
411334646,"Ride,EBikeRide",2022-09-20T12,10,5,5,5,5,0,0,5,5,5,5,0,0,0,0,5,0,0,0,0,0,0,0,6.58,5.94,491212832,10,0
411334646,"Ride,EBikeRide",2022-09-09T13,35,20,15,20,15,0,0,15,15,10,10,10,5,0,0,5,5,10,5,5,5,0,0,6.8,6.02,491212832,30,0
411334646,"Ride,EBikeRide",2022-08-05T23,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-08-03T07,15,5,10,5,5,5,10,5,0,5,5,0,0,0,0,0,0,5,5,0,0,0,0,2.81,5.83,491212832,10,0
411334646,"Ride,EBikeRide",2022-04-11T12,5,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-07-07T14,10,5,5,5,5,0,0,5,5,5,5,0,0,0,0,0,5,5,0,0,0,0,0,5.61,6.43,491212832,10,0
411334646,"Ride,EBikeRide",2022-09-29T19,10,5,5,5,5,5,5,0,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,6.75,5.54,491212832,10,0
411334646,"Ride,EBikeRide",2022-10-12T15,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,7.1,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-12-04T12,15,5,10,5,10,0,0,5,10,5,5,0,0,0,0,0,5,0,0,0,0,0,0,6.41,5.64,491212832,10,0
411334646,"Ride,EBikeRide",2022-07-22T15,10,5,5,5,5,0,0,5,5,5,5,0,0,0,0,5,0,0,5,0,0,0,0,7.3,6.35,491212832,10,0
411334646,"Ride,EBikeRide",2022-06-22T12,5,5,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6.14,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-02-10T08,10,5,5,5,5,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.67,491212832,10,0
411334646,"Ride,EBikeRide",2022-05-27T10,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,6.31,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-07-21T16,20,15,10,15,10,5,5,5,5,10,10,0,0,0,0,5,5,5,5,0,0,0,0,7.37,6.04,491212832,25,0
411334646,"Ride,EBikeRide",2022-05-07T09,15,5,5,5,5,0,0,5,5,5,5,5,0,0,0,5,0,0,5,0,0,0,0,5.98,6.88,491212832,10,0
411334646,"Ride,EBikeRide",2022-08-24T13,5,0,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.31,491212832,5,0
411334646,"Ride,EBikeRide",2022-08-01T18,25,20,10,20,10,5,0,10,10,10,10,5,0,0,0,10,5,5,5,0,0,0,0,6.76,6.5,491212832,30,0
