city,state,country,2020,2021,2022,2023,2024,2025,2026
Grand Island,NE,US,33,33,33,30,33,36,36
Sun Valley,NV,US,,,,49,49,49,36
North Conway,NH,US,,,,,18,20,36
North Hampton,NH,US,,,,,,,36
Collingswood,NJ,US,,,,,23,25,36
West Windsor,NJ,US,,,,,,,36
Concord,NY,US,,,,,,,36
Firthcliffe,NY,US,,14,14,21,23,21,36
Charlotte,NC,US,12,23,25,29,30,32,36
Bay Village,OH,US,,,,,,18,36
Columbus,OH,US,30,25,26,25,27,25,36
Euclid,OH,US,18,18,18,19,20,30,36
Lisbon,OH,US,,,,,31,34,36
Warren,OH,US,,,,,,22,36
Xenia,OH,US,,,,29,31,29,36
Broken Arrow,OK,US,17,18,20,21,23,27,36
Lakeview,OR,US,,,,,,,36
Doylestown,PA,US,24,25,31,43,44,43,36
Easton,PA,US,,,19,24,24,24,36
Hermitage,PA,US,,,,,23,27,36
Peters,PA,US,,24,23,21,21,22,36
Plymouth Meeting,PA,US,,,,,,,36
York,PA,US,,27,27,27,28,35,36
Fort Mill,SC,US,,,,,,,36
McClellanville,SC,US,,,,,,,36
Watertown,SD,US,,,,,,29,36
Ashland City,TN,US,,,,26,27,27,36
Cookeville,TN,US,,,,,30,30,36
Nashville,TN,US,9,10,10,24,26,27,36
Austin,TX,US,12,30,30,33,34,36,36
Bee Cave,TX,US,,33,34,32,38,34,36
Colleyville,TX,US,,,10,23,23,21,36
Hackberry,TX,US,,,9,14,14,14,36
Parker,TX,US,,,9,10,10,9,36
Heber,UT,US,,,,33,39,33,36
South Jordan,UT,US,,,,37,39,42,36
Glen Allen,VA,US,,,,12,12,13,36
Suffolk,VA,US,,22,22,22,23,23,36
Woodstock,VA,US,,,,,,,36
Auburn,WA,US,,,,24,25,26,36
Bothell,WA,US,,,,,16,16,36
Bremerton,WA,US,,22,21,25,27,31,36
Kirkland,WA,US,,,26,31,33,34,36
Mountlake Terrace,WA,US,,,,,,26,36
Olympia,WA,US,29,29,30,28,30,33,36
Charleston,WV,US,22,24,26,21,22,21,36
Elkins,WV,US,,,,,,40,36
Kingwood,WV,US,,,,,27,27,36
Appleton,WI,US,26,26,29,30,30,32,36
Menasha,WI,US,,,,,,,36
Mukwonago,WI,US,,,,,29,28,36
Montgomery,AL,US,25,26,23,21,24,24,35
Show Low,AZ,US,,,,,31,30,35
Sierra Vista,AZ,US,,,27,27,29,29,35
Tempe,AZ,US,32,32,30,34,35,36,35
Atascadero,CA,US,29,29,31,34,36,36,35
Avocado Heights,CA,US,,,,,,,35
Chino Hills,CA,US,,,24,25,26,31,35
Dublin,CA,US,,25,27,30,31,33,35
Emeryville,CA,US,,,41,42,43,44,35
Folsom,CA,US,35,35,35,34,35,37,35
La Cañada Flintridge,CA,US,,,,,,,35
Lake Elsinore,CA,US,,28,28,30,32,32,35
Mayflower Village,CA,US,,,,,,,35
Rowland Heights,CA,US,,,,,,,35
Salinas,CA,US,,30,29,28,29,32,35
South San Gabriel,CA,US,,,,,,,35
Woodland,CA,US,,,46,52,52,53,35
Georgetown,CO,US,,,24,24,26,30,35
Longmont,CO,US,37,37,48,56,57,56,35
Middletown,CT,US,,33,24,24,27,27,35
Putnam,CT,US,,,,23,23,23,35
Southington,CT,US,,,,,,,35
Juno Beach,FL,US,,,,,22,22,35
Palm Coast,FL,US,,,10,12,12,16,35
Covington,GA,US,,,12,11,12,14,35
Dallas,GA,US,,15,14,14,17,17,35
Perry,GA,US,,,,,,,35
Sugar Hill,GA,US,,,,12,16,16,35
Warm Springs,GA,US,,,,,18,18,35
Algonquin,IL,US,,,,29,31,32,35
Highland Park,IL,US,19,20,21,31,33,33,35
Shipshewana,IN,US,,,,,,,35
Augusta,ME,US,30,26,24,21,23,24,35
Capitol Heights,MD,US,,,,9,10,11,35
Pasadena,MD,US,,11,11,13,13,14,35
Dighton,MA,US,,,,,,,35
Northampton,MA,US,17,17,17,16,20,33,35
Somerville,MA,US,20,33,41,57,58,63,35
Warren,MI,US,31,24,26,31,32,32,35
Woodhaven,MI,US,,,,,22,22,35
Forest Lake,MN,US,,,,,24,23,35
Maplewood,MN,US,,,,20,21,25,35
Roseville,MN,US,,,19,22,22,25,35
Meridian,MS,US,20,19,19,21,22,20,35
Starkville,MS,US,,28,27,27,28,30,35
Branson,MO,US,,,,,21,21,35
Liberty,MO,US,,,,,,,35
Hanover,NH,US,,,,,,32,35
Closter,NJ,US,,29,29,28,28,29,35
Hillsborough,NJ,US,,,,,35,35,35
Waterford,NJ,US,,,,,,,35
Evans,NY,US,,,,,,,35
New Hartford,NY,US,,11,11,11,9,10,35
Sandy Creek,NY,US,,,,16,16,16,35
Carrboro,NC,US,,,,37,38,38,35
Barberton,OH,US,16,16,16,23,24,26,35
Findlay,OH,US,,,,30,32,32,35
Hilliard,OH,US,,,,,,,35
Springfield,OH,US,,,,,33,32,35
Stillwater,OK,US,33,30,30,30,30,30,35
Sulphur,OK,US,,,,,,,35
Happy Valley,OR,US,,17,18,19,20,22,35
Hillsboro,OR,US,29,31,33,36,37,38,35
West Linn,OR,US,,,,,,24,35
Corry,PA,US,,,,,,,35
Horsham,PA,US,,,,19,20,22,35
Hydetown,PA,US,,,,,,,35
Schnecksville,PA,US,,,,,21,27,35
Pierre,SD,US,37,35,36,36,35,33,35
Columbia,TN,US,,,,21,26,25,35
Balch Springs,TX,US,,,9,21,22,23,35
Double Oak,TX,US,,,16,17,18,18,35
Joshua,TX,US,,,16,16,18,19,35
Rice,TX,US,,,18,18,18,14,35
Cedar City,UT,US,,,36,25,29,31,35
Logan,UT,US,27,24,41,47,50,49,35
Barre,VT,US,,,,,,31,35
Middlebury,VT,US,42,44,39,34,31,32,35
St. Johnsbury,VT,US,,,,,,32,35
Big Stone Gap,VA,US,,,,,26,33,35
West Springfield,VA,US,,,,32,33,33,35
Bellevue,WA,US,30,29,30,32,33,34,35
Everett,WA,US,,,41,39,40,39,35
Federal Way,WA,US,21,21,21,24,25,26,35
Lacey,WA,US,,,,29,29,32,35
Wheeling,WV,US,21,20,17,17,19,18,35
Green Lake,WI,US,,,,,28,28,35
Rhinelander,WI,US,,,,,28,28,35
Waukesha,WI,US,26,28,33,35,34,34,35
Birmingham,AL,US,21,23,24,22,23,21,34
Casa Grande,AZ,US,,,39,39,39,37,34
Colorado City,AZ,US,,,,,,,34
San Tan Valley,AZ,US,,,,,,,34
American Canyon,CA,US,,27,31,29,29,29,34
Calimesa,CA,US,,,,,,34,34
Campbell,CA,US,,,,,,,34
Clovis,CA,US,,,,21,27,26,34
Glendora,CA,US,,,,,,25,34
Irvine,CA,US,23,25,27,30,31,29,34
Lafayette,CA,US,,17,17,19,19,20,34
Modesto,CA,US,,24,25,23,22,20,34
Montebello,CA,US,30,30,29,24,32,28,34
Murrieta,CA,US,,,26,27,29,31,34
Palm Springs,CA,US,18,18,19,29,29,26,34
Poway,CA,US,,,,25,27,27,34
San Mateo,CA,US,,,35,36,39,40,34
San Rafael,CA,US,,28,24,29,30,32,34
Torrance,CA,US,,,20,20,26,29,34
Vincent,CA,US,,,,,,,34
Greenwood Village,CO,US,,,17,20,20,19,34
Monument,CO,US,,,,,20,20,34
Townsend,DE,US,,,,26,26,26,34
Stuart,FL,US,,18,18,19,22,22,34
Conyers,GA,US,,11,11,11,13,13,34
St. Marys,GA,US,,15,13,16,16,19,34
Wahiawa,HI,US,,,,19,18,19,34
East Dundee,IL,US,,11,11,11,15,13,34
Glenview,IL,US,,,,,,12,34
Greencastle,IN,US,,,,,,,34
De Soto,KS,US,,,,,28,27,34
Metairie,LA,US,24,22,24,26,26,27,34
Arnold,MD,US,,20,20,21,21,22,34
College Park,MD,US,,22,20,20,21,23,34
Friendsville,MD,US,,,,,20,20,34
Horn Lake,MS,US,21,20,21,22,23,23,34
Arnold,MO,US,,13,13,22,22,23,34
Bonhomme,MO,US,,,,,,,34
Brentwood,MO,US,,,,,22,23,34
Webster Groves,MO,US,,,,,20,21,34
Windsor,MO,US,,,,,,,34
Hackensack,NJ,US,,,,,,31,34
Neptune City,NJ,US,,,,11,13,14,34
Rockaway,NJ,US,,,17,19,21,16,34
Brewster,NY,US,,,21,17,16,16,34
Brutus,NY,US,,,,,,,34
Knightdale,NC,US,,,,,,17,34
Akron,OH,US,14,18,19,22,23,23,34
Elyria,OH,US,,,,,,25,34
Yellow Springs,OH,US,,,,,36,37,34
Norman,OK,US,21,21,21,22,24,25,34
Beaverton,OR,US,26,29,28,30,31,31,34
Bend,OR,US,20,23,29,29,30,31,34
Springfield,OR,US,,,,22,24,24,34
Tigard,OR,US,,,24,27,27,29,34
Troutdale,OR,US,,,,,23,23,34
Blakely,PA,US,,,,,8,8,34
Lansdale,PA,US,,16,20,27,29,31,34
Levittown,PA,US,,,,,,,34
Pittsburgh,PA,US,21,22,24,28,30,33,34
Franklin,TN,US,24,24,24,25,25,22,34
Caddo Mills,TX,US,,,32,32,28,29,34
Rhome,TX,US,,,28,28,25,25,34
Richfield,UT,US,43,28,30,35,27,28,34
West Valley City,UT,US,20,22,23,19,22,28,34
Herndon,VA,US,,18,20,22,24,24,34
Leesburg,VA,US,,35,36,32,36,37,34
Richmond,VA,US,20,20,22,22,24,25,34
Virginia Beach,VA,US,17,20,21,22,21,23,34
Cashmere,WA,US,,,,,,24,34
Richland,WA,US,17,20,21,23,25,29,34
Yakima,WA,US,,,30,28,29,28,34
Clarksburg,WV,US,,,,,24,25,34
Glendale,WI,US,,,,33,33,35,34
Sumiton,AL,US,,,,,,,33
Lukachukai,AZ,US,,,,,,,33
Cabot,AR,US,,,,,,,33
Concord,CA,US,,,,,32,32,33
Cupertino,CA,US,24,27,26,26,27,28,33
Dinuba,CA,US,,,,,38,38,33
Eureka,CA,US,23,22,27,25,26,28,33
La Quinta,CA,US,,,,27,29,28,33
Morgan Hill,CA,US,18,19,20,25,26,27,33
Mount Shasta,CA,US,,,,,,,33
Paradise,CA,US,,,,,25,24,33
San Jose,CA,US,20,24,27,32,33,33,33
San Ramon,CA,US,,25,23,30,32,32,33
Santa Cruz,CA,US,19,24,24,26,31,31,33
Turlock,CA,US,,,,,,31,33
Nederland,CO,US,,,18,16,14,14,33
Northglenn,CO,US,,,20,26,27,29,33
New Haven,CT,US,17,18,20,21,24,27,33
Bethany Beach,DE,US,,,22,25,26,26,33
Meadow Woods,FL,US,,,,,23,24,33
Punta Gorda,FL,US,,,,,,10,33
Atlanta,GA,US,23,23,25,26,30,31,33
Marietta,GA,US,8,9,10,11,16,16,33
McDonough,GA,US,17,17,17,17,18,18,33
Kailua,HI,US,31,27,28,25,29,29,33
North Webster,IN,US,,,,,33,33,33
Derby,KS,US,8,8,9,10,11,12,33
Covington,KY,US,,,,22,22,22,33
New Orleans,LA,US,34,34,19,23,25,26,33
Kennebunk,ME,US,,,,,18,21,33
South Portland,ME,US,,,,,,16,33
Gaithersburg,MD,US,,21,21,20,23,23,33
Boston,MA,US,24,28,28,29,34,35,33
Lexington,MA,US,11,19,20,20,21,25,33
Newburyport,MA,US,12,13,11,14,14,24,33
Fraser,MI,US,,,,,,,33
Saginaw,MI,US,,,,23,26,28,33
Grand Marais,MN,US,,,21,28,28,32,33
Cape Girardeau,MO,US,,,,,19,23,33
O'Fallon,MO,US,17,12,12,17,17,18,33
Carson City,NV,US,29,36,37,40,41,40,33
Newark,NJ,US,20,19,21,22,23,25,33
Paramus,NJ,US,,21,21,22,22,22,33
Parsippany,NJ,US,,,,,25,25,33
Paterson,NJ,US,13,13,13,14,16,16,33
West Orange,NJ,US,,18,18,22,23,24,33
Albuquerque,NM,US,13,27,28,31,32,33,33
Santa Fe,NM,US,26,25,27,30,31,31,33
Highland,NY,US,,,,,,,33
Springville,NY,US,,,,,28,28,33
Black Mountain,NC,US,,,,,23,25,33
Bandon,OR,US,,,,57,55,55,33
Cranberry Township,PA,US,,24,23,24,28,27,33
Muncy,PA,US,,,,,21,21,33
South Whitehall,PA,US,,,,,,,33
Williamsport,PA,US,,,,,,23,33
Chattanooga,TN,US,20,20,20,20,22,24,33
Spring Hill,TN,US,,,,,28,28,33
Haslet,TX,US,,,17,20,21,23,33
Runaway Bay,TX,US,,,28,28,28,28,33
The Colony,TX,US,,,15,20,20,21,33
Chesapeake,VA,US,22,22,19,20,21,21,33
Luray,VA,US,,,,,,23,33
Norfolk,VA,US,18,22,21,23,23,26,33
Shoreline,WA,US,,,,,,37,33
Auburn,AL,US,41,41,22,22,25,25,32
Tuscaloosa,AL,US,18,19,20,21,22,22,32
Alhambra,CA,US,,,24,23,25,25,32
Apple Valley,CA,US,,,,44,45,45,32
Artesia,CA,US,,,,,,,32
East Los Angeles,CA,US,,,,,,,32
La Habra,CA,US,,,,,20,20,32
Ladera Ranch,CA,US,,,,19,19,19,32
Los Alamitos,CA,US,,,,,,,32
Los Angeles,CA,US,26,28,26,19,25,25,32
Milpitas,CA,US,,,,,,,32
Oxnard,CA,US,31,40,37,37,38,37,32
San Marcos,CA,US,,,30,34,31,31,32
Santa Maria,CA,US,46,35,34,34,36,37,32
Thousand Oaks,CA,US,,27,26,27,29,30,32
Evergreen,CO,US,,,,,,,32
Glenwood Springs,CO,US,,,,,26,26,32
Bethel,CT,US,14,12,13,20,20,17,32
Bloomfield,CT,US,,,,,,,32
Groton,CT,US,,,,,,13,32
Manchester,CT,US,,21,18,19,24,24,32
Plainville,CT,US,,,,,,,32
Suffield,CT,US,,,,23,23,21,32
Bear,DE,US,,,,16,16,16,32
New Castle,DE,US,,,,,24,25,32
Deerfield Beach,FL,US,,,,13,20,20,32
Royal Palm Beach,FL,US,,15,15,18,18,18,32
St. Cloud,FL,US,,,,36,37,38,32
Temple Terrace,FL,US,,,,,17,17,32
Wildwood,FL,US,,11,11,12,13,13,32
Braselton,GA,US,,,20,17,19,20,32
Suwanee,GA,US,,,25,25,26,27,32
Tucker,GA,US,,,8,8,10,10,32
Westfield,IN,US,,,,32,33,33,32
Wolcottville,IN,US,,,,,14,14,32
Burlington,IA,US,22,22,26,26,26,26,32
Cedar Rapids,IA,US,26,24,26,28,29,29,32
Davenport,IA,US,22,29,32,32,32,28,32
Villa Hills,KY,US,,,,,,,32
West Point,KY,US,,,,,29,22,32
Bossier City,LA,US,18,18,16,17,18,18,32
Elmwood,LA,US,,,,16,16,16,32
Portland,ME,US,22,22,30,28,39,38,32
Saco,ME,US,,,,,19,19,32
California,MD,US,,,,,22,23,32
Ellicott City,MD,US,,,16,15,16,16,32
Amesbury Town,MA,US,,,,,13,10,32
Swampscott,MA,US,,,,,9,16,32
Farmington,MN,US,,,,,,,32
Lewiston,MN,US,,,,32,32,32,32
Stillwater,MN,US,,,26,25,25,26,32
Greenville,MS,US,,,,,26,24,32
Ballwin,MO,US,,25,24,30,31,32,32
Sparks,NV,US,,,,,,30,32
Morristown,NJ,US,24,24,26,37,38,39,32
Northfield,NJ,US,45,45,46,38,38,37,32
Westwood,NJ,US,,,,,,,32
Vestal,NY,US,,,,,,,32
Apex,NC,US,,,,,,19,32
Boone,NC,US,,,,,21,23,32
Holly Springs,NC,US,,,12,17,18,18,32
Cincinnati,OH,US,22,22,24,25,25,25,32
Crestline,OH,US,,34,34,37,37,37,32
Lebanon,OH,US,28,28,27,26,28,28,32
Massillon,OH,US,17,18,21,26,27,27,32
North Olmsted,OH,US,,,,20,20,20,32
Upper Arlington,OH,US,,19,26,26,28,31,32
Wadsworth,OH,US,,,,,,,32
Oklahoma City,OK,US,20,20,21,22,24,24,32
Milwaukie,OR,US,,,,27,28,30,32
Palmer Heights,PA,US,,,,12,14,15,32
Goose Creek,SC,US,12,12,12,16,17,17,32
Celina,TX,US,,,14,14,14,14,32
Lucas,TX,US,,,15,15,16,17,32
Prosper,TX,US,,,17,22,24,25,32
Bountiful,UT,US,,,,28,30,31,32
Clinton,UT,US,,,,,,,32
Layton,UT,US,,,,,,,32
Moab,UT,US,,,,27,30,38,32
Provo,UT,US,33,32,32,28,28,38,32
Spanish Fork,UT,US,,,,,,,32
Brattleboro,VT,US,31,49,46,21,23,29,32
Staunton,VA,US,,,,,,24,32
Kent,WA,US,20,20,20,20,21,21,32
Redmond,WA,US,27,27,27,28,29,28,32
Sequim,WA,US,,,,,25,25,32
Vancouver,WA,US,36,40,40,41,42,43,32
Parkersburg,WV,US,22,27,27,18,19,18,32
Cottonwood,AZ,US,,,,21,24,21,31
St. Johns,AZ,US,,,,20,19,25,31
Arcata,CA,US,49,62,53,55,58,59,31
Carson,CA,US,,,,14,18,19,31
Claremont,CA,US,,18,16,22,23,23,31
El Sobrante,CA,US,,,16,18,19,19,31
Gilroy,CA,US,,,,29,30,31,31
Hacienda Heights,CA,US,,,,,,,31
La Palma,CA,US,,,,,,,31
Redding,CA,US,19,21,22,20,21,21,31
Santa Clara,CA,US,,,22,24,26,27,31
Sunnyvale,CA,US,,,21,21,23,25,31
Yucaipa,CA,US,,,,,23,26,31
Fraser,CO,US,,,,,,,31
New Britain,CT,US,,,,,31,32,31
Rocky Hill,CT,US,,,,14,14,15,31
Dover,DE,US,15,17,17,20,22,18,31
Destin,FL,US,,,,33,27,27,31
Panama City Beach,FL,US,,,,,,23,31
Brooklet,GA,US,,,,,,,31
Guyton,GA,US,,,,,25,25,31
Mansfield,GA,US,,,,,20,20,31
Milton,GA,US,,,12,12,15,15,31
Boise,ID,US,13,13,15,24,25,28,31
Westbrook,ME,US,,,,,,19,31
Catonsville,MD,US,,,,,,14,31
Greenbelt,MD,US,,,,13,13,13,31
Towson,MD,US,15,16,17,19,19,23,31
Brookline,MA,US,,,,20,23,34,31
Southampton,MA,US,,,,,,,31
Yarmouth,MA,US,,,,,,,31
Yarmouth Port,MA,US,,,,,9,11,31
Alma,MI,US,81,29,29,32,34,32,31
Ocean Springs,MS,US,,,,,,,31
Florissant,MO,US,,,,,,,31
Durham,NH,US,,,,,,44,31
Portsmouth,NH,US,18,11,14,19,22,24,31
Cresskill,NJ,US,,,20,21,23,26,31
Piscataway,NJ,US,,22,21,22,22,22,31
Teanek,NJ,US,,,,,,19,31
Toms River,NJ,US,,,,,21,21,31
Weehawken,NJ,US,,,20,21,22,22,31
Cooperstown,NY,US,,17,17,19,19,19,31
Scotia,NY,US,,,,,3,4,31
Weedsport,NY,US,,,,,19,19,31
Wheatfield,NY,US,,,,,,,31
Springboro,OH,US,17,18,18,19,21,22,31
Edmond,OK,US,,21,21,22,25,25,31
King of Prussia,PA,US,,,,,,21,31
Langhorne,PA,US,,,,,11,11,31
Lexington,SC,US,,,,,,24,31
Nolanville,TX,US,,,,,17,18,31
Oak Point,TX,US,,,12,16,16,16,31
Saginaw,TX,US,,,9,30,31,32,31
Centerville,UT,US,19,19,20,31,33,34,31
Cottonwood Heights,UT,US,20,22,22,24,24,22,31
Farmington,UT,US,,21,22,20,24,25,31
Newport News,VA,US,22,23,22,24,23,22,31
Kenmore,WA,US,,,,,21,24,31
Marysville,WA,US,,,,,29,28,31
Dothan,AL,US,,,,23,25,24,30
Glendale,AZ,US,25,25,24,26,26,26,30
Phoenix,AZ,US,27,28,28,28,29,32,30
Scottsdale,AZ,US,22,23,22,23,25,27,30
Eureka Springs,AR,US,,,,,,,30
Shannon Hills,AR,US,,,,,,,30
Brentwood,CA,US,,,,,,38,30
Charter Oak,CA,US,,,,,,,30
Napa,CA,US,38,38,33,41,40,39,30
Palmdale,CA,US,,,,,22,23,30
Paramount,CA,US,,,,,22,21,30
Pomona,CA,US,,,,22,26,27,30
Sacramento,CA,US,27,29,29,32,34,36,30
San Pablo,CA,US,,,,,,,30
Santa Fe Springs,CA,US,,,,,,,30
Stockton,CA,US,34,35,35,21,22,25,30
Tracy,CA,US,,,,,25,25,30
Vacaville,CA,US,,,,20,20,21,30
Ventura,CA,US,34,32,32,32,33,33,30
View Park-Windsor Hills,CA,US,,,,,,,30
Breckenridge,CO,US,26,26,25,28,28,33,30
Carbondale,CO,US,,,,,,35,30
Wethersfield,CT,US,,11,13,13,14,13,30
Davie,FL,US,,,13,19,20,20,30
Lakewood Ranch,FL,US,,,,16,18,25,30
Oviedo,FL,US,,15,15,15,18,18,30
Fairburn,GA,US,,,,,12,12,30
Lawrenceville,GA,US,,,14,16,21,22,30
Powder Springs,GA,US,,,15,15,18,18,30
Savannah,GA,US,7,7,7,8,18,20,30
Stockbridge,GA,US,,,14,14,12,12,30
Kapolei,HI,US,,,,17,18,16,30
Grayslake,IL,US,,,,,,24,30
River Forest,IL,US,,,,,,,30
Ottumwa,IA,US,,,,,,,30
Indian Head,MD,US,,,,,,,30
Potomac,MD,US,,,,,16,16,30
Salisbury,MD,US,,23,23,23,22,23,30
Waldorf,MD,US,,,16,18,19,22,30
Avon,MA,US,,,,,,,30
Chatham,MA,US,,,,,,,30
Sudbury,MA,US,,,,,13,17,30
Olive Branch,MS,US,23,22,22,19,21,23,30
Crestwood,MO,US,,,,,,,30
New Haven,MO,US,,,,,22,24,30
Springfield,MO,US,24,24,24,24,26,29,30
Milford,NH,US,15,16,15,15,17,16,30
Bridgewater Center,NJ,US,,,,20,21,21,30
Brielle,NJ,US,9,9,9,9,9,10,30
Lincoln Park,NJ,US,,,,,14,14,30
Metuchen,NJ,US,,,,,,28,30
Randolph,NJ,US,,,,19,21,17,30
Red Bank,NJ,US,,17,17,19,20,21,30
Rensselaer,NY,US,,,,,6,6,30
Rosendale,NY,US,,,,,26,24,30
Elkin,NC,US,,,,,12,13,30
Raleigh,NC,US,18,18,18,19,21,21,30
Southport,NC,US,,,,,17,17,30
Williston,ND,US,,,,,,16,30
Bartlesville,OK,US,,24,24,22,23,24,30
Redmond,OR,US,21,21,25,20,21,21,30
Johnstown,PA,US,,,,,25,25,30
Nether Providence Township,PA,US,,,18,20,20,21,30
Schuylkill Township,PA,US,,14,15,15,16,17,30
North Myrtle Beach,SC,US,,,,,,11,30
Jackson,TN,US,16,16,16,20,20,20,30
Kingsport,TN,US,,15,17,14,15,17,30
Godley,TX,US,,,30,31,29,23,30
Mesquite,TX,US,,,8,22,23,24,30
Sandy,UT,US,,,,22,22,23,30
Richford,VT,US,,,,,23,23,30
Galax,VA,US,,,,,24,23,30
McLean,VA,US,,19,19,16,17,18,30
Tysons,VA,US,,,,,,,30
Warrenton,VA,US,,19,19,22,24,24,30
Winchester,VA,US,,,,26,30,30,30
Mukilteo,WA,US,,,,,,24,30
Tukwila,WA,US,,17,18,20,23,24,30
Chandler,AZ,US,23,25,28,26,27,27,29
Mesa,AZ,US,18,21,22,22,22,23,29
Huntsville,AR,US,,,,,,,29
Cerritos,CA,US,,,,,,,29
Costa Mesa,CA,US,,15,11,11,16,17,29
Duarte,CA,US,,,,,,,29
East Rancho Dominguez,CA,US,,,,,,,29
Fair Oaks,CA,US,,,,,,,29
Fullerton,CA,US,,,28,26,25,24,29
Grass Valley,CA,US,,,25,20,22,22,29
Hanford,CA,US,,,,,,26,29
La Mirada,CA,US,,,,,,,29
Lomita,CA,US,,,,,,,29
McKinleyville,CA,US,,,,,,,29
San Juan Capistrano,CA,US,19,22,22,22,23,22,29
San Marino,CA,US,,,,,,16,29
Villa Park,CA,US,,,,,,,29
West Carson,CA,US,,,,,,,29
Arvada,CO,US,,9,21,23,25,25,29
Johnstown,CO,US,,,14,14,14,14,29
Lafayette,CO,US,,17,28,29,30,30,29
Lakewood,CO,US,20,19,22,24,25,29,29
Pagosa Springs,CO,US,,,,,18,18,29
South Windsor,CT,US,,15,13,16,16,16,29
Bonita Springs,FL,US,,,,,12,13,29
Doral,FL,US,,,,14,14,14,29
New Smyrna Beach,FL,US,,11,11,11,10,11,29
Palm Beach Gardens,FL,US,,,,,,16,29
Plantation,FL,US,,16,15,21,21,21,29
Tallahassee,FL,US,14,15,29,28,28,28,29
The Villages,FL,US,22,22,35,33,35,35,29
Union Park,FL,US,,,,,,20,29
Brookhaven,GA,US,,21,18,16,19,21,29
Buford,GA,US,,,15,15,20,20,29
Duluth,GA,US,18,18,20,16,18,17,29
Dunwoody,GA,US,11,11,12,14,16,19,29
East Honolulu,HI,US,15,16,16,18,21,22,29
Avon,IN,US,,,,11,11,13,29
Olathe,KS,US,22,23,21,22,23,24,29
Baton Rouge,LA,US,25,21,19,21,22,22,29
Lake Charles,LA,US,15,16,16,17,16,18,29
Bowie,MD,US,,13,14,13,14,15,29
Germantown,MD,US,19,20,19,25,26,27,29
Lanham,MD,US,,,,,,,29
Falmouth,MA,US,16,16,15,18,22,22,29
Shelburne Falls,MA,US,,,,,,,29
Clinton Township,MI,US,,,14,24,25,24,29
Moorhead,MN,US,,,,,23,23,29
Biloxi,MS,US,15,16,22,20,20,20,29
Jefferson City,MO,US,,,,,18,17,29
Kirkwood,MO,US,,,,,26,27,29
Ozark,MO,US,,,,,14,14,29
St. Joseph,MO,US,,29,29,24,24,23,29
Littleton,NH,US,,,,19,18,25,29
Nashua,NH,US,15,13,14,14,15,17,29
Englewood,NJ,US,,,,,,,29
Hanover,NJ,US,,,,,,16,29
Webster,NY,US,,,,16,18,15,29
Bermuda Run,NC,US,,,,,,,29
Concord,NC,US,11,12,12,11,12,12,29
Waxhaw,NC,US,9,10,11,12,11,11,29
Broadview Heights,OH,US,,,,,20,20,29
Canton,OH,US,14,14,15,20,21,22,29
East Liverpool,OH,US,,,,,23,23,29
Lima,OH,US,,24,19,21,24,24,29
Loudonville,OH,US,,,,,23,23,29
Mount Vernon,OH,US,,,,,,,29
St. Clairsville,OH,US,,,,,,,29
Tallmadge,OH,US,,,,,,20,29
Claremore,OK,US,,,,18,15,15,29
Mechanicsburg,PA,US,,19,19,24,25,29,29
Quarryville,PA,US,,,,,,,29
Mount Pleasant,SC,US,12,12,12,14,15,19,29
Sioux Falls,SD,US,19,21,22,24,24,25,29
Clarksville,TN,US,22,23,24,24,25,21,29
Oak Ridge,TN,US,,,,,,21,29
Anna,TX,US,,,25,28,27,27,29
Highland Village,TX,US,,,13,29,31,30,29
Lake Dallas,TX,US,,,15,15,20,20,29
Little Elm,TX,US,,,14,17,18,18,29
Nevada,TX,US,,,21,22,22,22,29
Newark,TX,US,,,18,15,15,15,29
Palmer,TX,US,,,26,28,28,27,29
Seagoville,TX,US,,,12,19,22,22,29
Southlake,TX,US,,14,14,23,23,23,29
Tomball,TX,US,,,,18,19,23,29
Midway,UT,US,,,,,,,29
Danville,VA,US,,,,,,,29
Harrisonburg,VA,US,,20,21,23,24,27,29
Wenatchee,WA,US,28,32,42,40,40,43,29
Gilbert,AZ,US,22,25,26,27,28,28,28
Goodyear,AZ,US,,,25,23,23,25,28
Lake Havasu City,AZ,US,,,,20,20,20,28
Peoria,AZ,US,21,20,19,21,23,23,28
Antioch,CA,US,,,27,29,30,29,28
Arroyo Grande,CA,US,28,28,24,28,25,26,28
Beaumont,CA,US,,,24,25,26,20,28
Bellflower,CA,US,,,,,,,28
Brea,CA,US,,,,,,,28
El Monte,CA,US,,,13,13,22,22,28
Fontana,CA,US,,,17,23,23,24,28
La Crescenta-Montrose,CA,US,,,,,,,28
Laguna Beach,CA,US,29,28,28,33,29,30,28
Lancaster,CA,US,,,,19,27,27,28
Rancho Cordova,CA,US,,,,26,26,29,28
San Diego,CA,US,26,28,29,30,32,33,28
Seal Beach,CA,US,,,,,,,28
Simi Valley,CA,US,19,20,20,19,20,25,28
Temecula,CA,US,,22,22,22,22,22,28
Walnut,CA,US,,,,,,,28
Bow Mar,CO,US,,,2,4,4,5,28
Commerce City,CO,US,,,13,15,17,16,28
Firestone,CO,US,,,16,18,18,18,28
Loveland,CO,US,9,10,26,29,31,32,28
Superior,CO,US,,,21,23,25,25,28
Norwalk,CT,US,6,6,13,20,21,23,28
West Hartford,CT,US,14,13,13,14,17,16,28
Windsor,CT,US,,,,,,,28
Ocean View,DE,US,,15,15,15,18,17,28
Miami,FL,US,4,4,20,22,24,24,28
