"DOCTNMBR","AGENCY","ACCDDATE","ACCDHOUR","COUNTY","CNTYCODE","MUNICIPALITY","MUNITYPE","MUNICODE","ONRDWY","ONRDWYDIR","ATRDWY","INTDIS","INTDIR","LATITUDE","LONGITUDE","INJSVR","TOTFATL","TOTINJ","TOTVEH","MNRCOLL","ACCDTYPE","AGGRFLAG","ATVFLAG","BIKEFLAG","BUSFLAG","CMVFLAG","CONSZONE","DEERFLAG","DISTRCTD","IMPAIRED","INTRFLAG","LANEDP1U","LANEDP2U","MCYCFLAG","OCCPPROT","PEDFLAG","SPEEDFLAG","TEENDRVR","65+DRVR","GOVTPROP"
01L0WTS26S,"MADISON POLICE DEPARTMENT","07/10/2017","15","DANE","13","MADISON","C","1373","E JOHNSON ST","","N PATERSON ST","0","","43.084465","-89.376194","B","0","1","1","1","1","","","","","","","","","","Y","","","","","Y","","","",""
01L09WHWRD,"MADISON POLICE DEPARTMENT","07/19/2017","21","DANE","13","MADISON","C","1373","RAYMOND RD","","MCKENNA BLVD","0","","43.031783","-89.496924","B","0","1","1","1","1","","","","","","","","","","Y","","","","","Y","","","",""
01L0C0TWSM,"MADISON POLICE DEPARTMENT","07/22/2017","15","DANE","13","MADISON","C","1373","N BROOM ST","","W MIFFLIN ST","0","","43.072201","-89.390004","A","0","1","1","5","5","","","","","","","","","","Y","","","","","Y","","","",""
01L0W2BC4G,"MADISON POLICE DEPARTMENT","07/31/2017","17","DANE","13","MADISON","C","1373","E MIFFLIN ST","","N FRANKLIN ST","0","","43.078747","-89.380717","B","0","1","1","5","5","","","","","","","","","","Y","","","","","Y","","","",""
01L0VZV8WW,"MADISON POLICE DEPARTMENT","08/25/2017","16","DANE","13","MADISON","C","1373","S CARROLL ST","","W WILSON ST",".01","N","43.071882","-89.382617","B","0","1","1","5","5","","","","","","","","","","Y","","","","","Y","","","",""
01L05QT5M5,"MADISON POLICE DEPARTMENT","08/25/2017","12","DANE","13","MADISON","C","1373","W JOHNSON ST","","N CARROLL ST",".01","E","43.07617","-89.387945","A","0","1","1","5","5","","","","","","","","","","Y","","","","","Y","","","",""
01L0X1Z7RH,"MADISON POLICE DEPARTMENT","09/05/2017","7","DANE","13","MADISON","C","1373","W JOHNSON ST","","N MILLS ST","0","","43.072091","-89.404176","B","0","1","1","1","5","","","","","","","","","","Y","","","","Y","Y","Y","","",""
01L044NQ80,"MADISON POLICE DEPARTMENT","09/17/2017","18","DANE","13","MADISON","C","1373","N FRANCES ST","","W JOHNSON ST","0","","43.072108","-89.395857","A","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L067MLZ0,"MADISON POLICE DEPARTMENT","09/21/2017","14","DANE","13","MADISON","C","1373","W DAYTON ST","","N PARK ST","0","","43.070865","-89.400754","A","0","1","1","1","5","","","","","","","","Y","","Y","","","","","Y","","","",""
01L073KD8B,"MADISON POLICE DEPARTMENT","09/22/2017","17","DANE","13","MADISON","C","1373","MONROE ST","","PROSPECT AVE","0","","43.06371","-89.418925","B","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L0NMQKVB,"MADISON POLICE DEPARTMENT","10/18/2017","20","DANE","13","MADISON","C","1373","151 E WASHINGTON AVE","S","CROSSOVER USH 151","0","","43.087376","-89.366275","A","0","1","1","5","5","","","","","","","","","","Y","","","","Y","Y","","","",""
01L0D7W13N,"MADISON POLICE DEPARTMENT","10/19/2017","13","DANE","13","MADISON","C","1373","DRYDEN DR","S","113","0","","43.128943","-89.359049","B","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L021PTKQ,"MADISON POLICE DEPARTMENT","11/01/2017","20","DANE","13","MADISON","C","1373","N PARK ST","","W DAYTON ST","0","","43.070963","-89.400753","B","0","1","1","5","5","","","","","","","","","","Y","","","","","Y","","","",""
01L1C3B00R,"MADISON POLICE DEPARTMENT","11/09/2017","16","DANE","13","MADISON","C","1373","N PARK ST","","SPRING ST",".03","N","43.06975","-89.400799","B","0","1","1","1","1","","","","","","","","","","Y","","","","","Y","","","",""
01L0C0TWTQ,"MADISON POLICE DEPARTMENT","11/09/2017","20","DANE","13","MADISON","C","1373","REGENT ST","","MONROE ST","0","","43.067803","-89.412633","O","0","0","1","1","1","","","","","","","","Y","","Y","","","","","Y","","","",""
01L0WHWRBQ,"MADISON POLICE DEPARTMENT","11/16/2017","13","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N MILLS ST","0","","43.07321","-89.404093","B","0","1","1","5","5","","","","","","","","","","Y","","","","","Y","","","",""
01L0XTDXXB,"MADISON POLICE DEPARTMENT","11/17/2017","19","DANE","13","MADISON","C","1373","151 E WASHINGTON AVE","S","PORTAGE RD","0","","43.12376","-89.314519","A","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L1C3B00T,"MADISON POLICE DEPARTMENT","11/17/2017","19","DANE","13","MADISON","C","1373","ATWOOD AVE","","CORSCOT CT","0","","43.092721","-89.351825","A","0","1","1","1","1","","","","","","","","","Y","Y","","","","","Y","","","Y",""
01L0TS2D8H,"MADISON POLICE DEPARTMENT","11/17/2017","18","DANE","13","MADISON","C","1373","DRAKE ST","","N MILLS ST","0","","0","0","O","0","0","1","0","1","","","","","","","","","","Y","","","","","Y","","","Y",""
59L04R68W5,"UW POLICE - MADISON","11/17/2017","19","DANE","13","MADISON","C","1373","REGENT ST","","N PARK ST","0","","43.067631","-89.40098","B","0","1","1","5","5","","","","","","","","","","Y","","","","","Y","","","Y",""
01L06KHWV6,"MADISON POLICE DEPARTMENT","11/21/2017","9","DANE","13","MADISON","C","1373","HY 12 EB OFF RAMP","","FISH HATCHERY RD","0","E","0","0","B","0","1","1","1","1","","","","","","","","Y","","Y","","","","","Y","","","",""
01L0CR2KRG,"MADISON POLICE DEPARTMENT","11/24/2017","18","DANE","13","MADISON","C","1373","SPRECHER RD","","SHARPSBURG DR","0","","43.087693","-89.26678","C","0","1","1","5","5","","","","","","","","Y","","Y","","","","","Y","","","",""
01L0D6N00R,"MADISON POLICE DEPARTMENT","11/29/2017","8","DANE","13","MADISON","C","1373","TIMBER WOLF TRL","","SWALLOWTAIL DR","0","","43.078619","-89.541526","B","0","1","1","1","5","","","","Y","Y","","","","","Y","","","","","Y","","","Y",""
01L0C5S28B,"MADISON POLICE DEPARTMENT","12/08/2017","14","DANE","13","MADISON","C","1373","LINCOLN ST","","MONROE ST","0","","43.063009","-89.419802","B","0","1","1","5","5","","","","","","","","Y","Y","Y","","","","","Y","","","Y",""
01L0CJWD7S,"MADISON POLICE DEPARTMENT","12/15/2017","17","DANE","13","MADISON","C","1373","COLBY ST","","W LAKESIDE ST",".01","S","43.055877","-89.383927","C","0","1","1","1","1","","","","","","","","","","Y","","","","","Y","","","",""
01L0CVRP54,"MADISON POLICE DEPARTMENT","12/19/2017","10","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","UNIVERSITY BAY DR","0","E","43.073486","-89.433681","B","0","1","1","5","5","","","","","","","","","","Y","","","","","Y","","","",""
01L0D6N010,"MADISON POLICE DEPARTMENT","12/20/2017","19","DANE","13","MADISON","C","1373","ODANA RD","","GRAND CANYON DR","0","","43.056557","-89.496368","B","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","Y",""
01L0DWMLWH,"MADISON POLICE DEPARTMENT","01/05/2018","23","DANE","13","MADISON","C","1373","WILLIAMSON ST","","S THORNTON AVE","0","","43.087953","-89.358417","A","0","1","1","1","1","","","","","","","","","","Y","","","","","Y","","Y","",""
01L0580Q9X,"MADISON POLICE DEPARTMENT","01/08/2018","7","DANE","13","MADISON","C","1373","DRAKE ST","S","151 S PARK ST","0","W","43.062066","-89.400961","C","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L06V55L5,"MADISON POLICE DEPARTMENT","01/18/2018","14","DANE","13","MADISON","C","1373","151 S PARK ST","S","BUICK STREET","0","","43.041658","-89.394111","C","0","1","1","1","1","","","","","","","","","","Y","","","","","Y","","","",""
01L0CF68ZS,"MADISON POLICE DEPARTMENT","01/22/2018","6","DANE","13","MADISON","C","1373","151 E WASHINGTON AVE","N","OAK ST",".01","W","43.103507","-89.343312","O","0","0","1","5","1","","","","","","","","","","Y","","","","","Y","","","",""
01L02PGFCV,"MADISON POLICE DEPARTMENT","01/22/2018","18","DANE","13","MADISON","C","1373","MINERAL POINT RD (1)","","S GAMMON RD","0","E","43.060704","-89.502687","B","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L07LCTM4,"MADISON POLICE DEPARTMENT","02/01/2018","22","DANE","13","MADISON","C","1373","SCHROEDER RD","","HATHAWAY","0","","0","0","A","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L05QT5ND,"MADISON POLICE DEPARTMENT","02/13/2018","16","DANE","13","MADISON","C","1373","N FRANCES ST","","UNIVERSITY AVE",".01","N","43.073274","-89.395829","B","0","1","1","5","9","","","","","","","","","","Y","","","","","Y","","","",""
01L067MLZV,"MADISON POLICE DEPARTMENT","02/15/2018","15","DANE","13","MADISON","C","1373","151 E WASHINGTON AVE","S","E WASHINGTON AVE",".01","N","43.078693","-89.378626","C","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L00W4SJP,"MADISON POLICE DEPARTMENT","02/18/2018","19","DANE","13","MADISON","C","1373","051","N","E BROADWAY","0","","43.048049","-89.307688","A","0","1","1","8","1","","","","","","","","","","Y","","","","Y","Y","","","",""
01L067MLZX,"MADISON POLICE DEPARTMENT","02/20/2018","18","DANE","13","MADISON","C","1373","N BALDWIN ST","","E GORHAM ST","0","","43.089457","-89.369049","C","0","1","1","0","1","","","","","","","","Y","","Y","","","","","Y","","","",""
01L0CX0Q89,"MADISON POLICE DEPARTMENT","03/03/2018","16","DANE","13","MADISON","C","1373","PD MCKEE RD","","MAPLE GROVE DR",".01","E","43.015698","-89.498744","C","0","1","1","1","1","","","","","","","","","","Y","","","","","Y","","","Y",""
01L0597RD2,"MADISON POLICE DEPARTMENT","03/11/2018","15","DANE","13","MADISON","C","1373","151 S PARK ST","S","VILAS AVE (1)",".01","S","43.063064","-89.400852","B","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","Y","",""
01L0WQ2XW8,"MADISON POLICE DEPARTMENT","03/12/2018","17","DANE","13","MADISON","C","1373","N BLAIR ST","","E JOHNSON ST (1)",".01","S","43.080625","-89.381467","B","0","1","1","5","5","","","","","","","","","","Y","","","","Y","Y","","","",""
01L0X1Z7T2,"MADISON POLICE DEPARTMENT","03/16/2018","19","DANE","13","MADISON","C","1373","WILLIAMSON ST","","S DICKINSON ST","0","","43.085771","-89.360751","C","0","1","1","5","1","","","","","","","","","","Y","","","","","Y","","","",""
01L0X5NC67,"MADISON POLICE DEPARTMENT","03/25/2018","0","DANE","13","MADISON","C","1373","LANGDON ST","","N HENRY ST","0","W","43.07671","-89.392542","A","0","1","1","1","5","","","","","","","","","Y","Y","","","","","Y","","Y","",""
01L0VXM7X2,"MADISON POLICE DEPARTMENT","03/27/2018","8","DANE","13","MADISON","C","1373","RAYMOND RD","","MUIR FIELD RD","0","","43.030627","-89.507974","B","0","1","1","1","1","","","","","","","","","","Y","","","","","Y","","","",""
01L0CR2KS1,"MADISON POLICE DEPARTMENT","04/15/2018","18","DANE","13","MADISON","C","1373","N BASSETT ST","","UNIVERSITY AVE",".01","S","43.073152","-89.393968","A","0","1","1","5","1","","","","","","","","","","Y","","","","","Y","Y","","",""
01L0XJRP61,"MADISON POLICE DEPARTMENT","04/20/2018","8","DANE","13","MADISON","C","1373","WOODVALE DR","","AB BUCKEYE RD",".01","N","43.073443","-89.295819","C","0","1","1","1","1","","","","","","","","","","Y","","","","","Y","","","",""
01L0X5NC6G,"MADISON POLICE DEPARTMENT","04/24/2018","19","DANE","13","MADISON","C","1373","W MAIN ST","","S HENRY ST","0","","43.071763","-89.385985","B","0","1","1","5","9","","","","","","","","","","Y","","","","","Y","","","",""
01L0X9CGFZ,"MADISON POLICE DEPARTMENT","05/18/2018","8","DANE","13","MADISON","C","1373","N CARROLL ST","","W GORHAM ST",".01","S","43.07661","-89.388863","C","0","1","1","1","5","","","","","","","","Y","","Y","","","","","Y","","","",""
