"DOCTNMBR","AGENCY","ACCDDATE","ACCDHOUR","COUNTY","CNTYCODE","MUNICIPALITY","MUNITYPE","MUNICODE","ONRDWY","ONRDWYDIR","ATRDWY","INTDIS","INTDIR","LATITUDE","LONGITUDE","INJSVR","TOTFATL","TOTINJ","TOTVEH","MNRCOLL","ACCDTYPE","AGGRFLAG","ATVFLAG","BIKEFLAG","BUSFLAG","CMVFLAG","CONSZONE","DEERFLAG","DISTRCTD","IMPAIRED","INTRFLAG","LANEDP1U","LANEDP2U","MCYCFLAG","OCCPPROT","PEDFLAG","SPEEDFLAG","TEENDRVR","65+DRVR","GOVTPROP"
01L067MM0T,"MADISON POLICE DEPARTMENT","05/31/2018","17","DANE","13","MADISON","C","1373","N PINCKNEY ST","","E JOHNSON ST (1)",".01","N","43.077745","-89.385866","B","0","1","1","5","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L048CTMJ,"MADISON POLICE DEPARTMENT","06/05/2018","16","DANE","13","MADISON","C","1373","PARK STREET","","ERIN STREET","0","S","0","0","O","0","0","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
02L0XWW18J,"DANE COUNTY SHERIFF","06/10/2018","12","DANE","13","MADISON","C","1373","COMMERCIAL AVE","","FAIR OAKS AVE",".01","E","43.106255","-89.330499","A","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0778HLN,"MADISON POLICE DEPARTMENT","06/12/2018","16","DANE","13","MADISON","C","1373","W GORHAM ST","","N HENRY ST",".01","E","43.075467","-89.390747","A","0","1","1","6","1","","","Y","","","","","Y","","Y","","Y","","","","","","",""
01L0CR2KSG,"MADISON POLICE DEPARTMENT","06/13/2018","15","DANE","13","MADISON","C","1373","N PARK ST","","W DAYTON ST",".01","N","43.071062","-89.40075","B","0","1","1","5","1","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0DG26PT,"MADISON POLICE DEPARTMENT","06/13/2018","7","DANE","13","MADISON","C","1373","W DAYTON ST","","N FRANCES ST","0","","43.070862","-89.395904","B","0","1","1","1","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0CJWD8J,"MADISON POLICE DEPARTMENT","06/19/2018","17","DANE","13","MADISON","C","1373","S RANDALL AVE","","DRAKE ST","0","","43.062019","-89.408992","C","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","Y",""
01L0CVRP6W,"MADISON POLICE DEPARTMENT","06/28/2018","11","DANE","13","MADISON","C","1373","MONROE ST","","N RANDALL AVE",".01","W","43.070087","-89.409136","B","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0580QCB,"MADISON POLICE DEPARTMENT","06/29/2018","15","DANE","13","MADISON","C","1373","FISH HATCHERY RD","","W WINGRA DR","0","","43.050311","-89.399909","A","0","1","1","1","9","","","Y","","","","","","","Y","","","","","","","","",""
01L0X9CGGG,"MADISON POLICE DEPARTMENT","07/03/2018","16","DANE","13","MADISON","C","1373","E JOHNSON ST (1)","","N PINCKNEY ST","0","W","43.077652","-89.385843","B","0","1","1","5","1","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0CF691M,"MADISON POLICE DEPARTMENT","07/08/2018","19","DANE","13","MADISON","C","1373","PFLAUM RD","","BB MONONA DR","0","","43.062176","-89.326174","B","0","1","1","1","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0WSK182,"MADISON POLICE DEPARTMENT","07/10/2018","11","DANE","13","MADISON","C","1373","ATWOOD AVE","","DENNETT DR","0","","43.088413","-89.328098","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","Y",""
01L0DG26Q4,"MADISON POLICE DEPARTMENT","07/11/2018","8","DANE","13","MADISON","C","1373","W JOHNSON ST","","N BASSETT ST","0","","43.072271","-89.393543","B","0","1","1","1","1","","","Y","","","","","Y","","Y","","","","","","","","",""
