OBJECTID,ZONING_COD,ZON_ANNO,PD_ID,ZON_PREFIX,ShapeSTAre,ShapeSTLen,Zoning_Doc,Zoning_Dis,area
"317530",SE,,"0",,936108.387939453125000,3985.398157404833000,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,216318.500388569
"317531",CN,,"0",,257395.758178710937500,2310.887994124742818,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,59774.0164852415
"317532",PD,,"0",,115963.882202148437500,1806.808054831025174,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,27083.5997430056
"317533",PD,,"0",,147695.657836914062500,1583.895026138618732,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,34373.9340856744
"317534",PD,,"0",,106912.726837158203125,1324.431753145375524,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,24705.8391449781
"317535",SR-V1,,"0",,11189.247894287109375,448.717998486639431,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,2605.52738364098
"317536",PD,,"0",,112427.101928710937500,1381.963107035552639,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,26088.9661171974
"317537",PD,,"0",,22038.473266601562500,603.821045315959282,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,5109.3422095094
"317538",TR-V1,,"0",,59253.864532470703125,1026.532118816664024,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,13715.9813655341
"317539",TR-V2,,"0",,39827.085815429687500,1021.060231775474676,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,9224.41268681948
"317540",PD,,"0",,245690.674102783203125,1912.556556252168320,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,56922.4594527623
"317541",SR-V2,,"0",,295188.564117431640625,2891.667299583449221,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,68914.6035120042
"317542",UMX,,"0",,84878.629272460937500,1420.237249630967426,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,19686.2404999792
"317543",PD,,"0",,85676.415832519531250,1330.838828559263902,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,19881.9437291357
"317544",PD,,"0",,31790.105133056640625,830.928445999240466,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,7370.11511287228
"317545",PD,,"0",,27719.491577148437500,664.773927430697768,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,6423.88077242108
"317546",SR-C2,,"0",,142639.610351562500000,1519.221387245757796,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,32912.6632102428
"317547",TR-C2,,"0",,1520081.596862792968750,12764.053507162370806,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,351644.176407303
"317548",CN,,"0",,364544.534149169921875,3585.287640686078703,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,84389.9111033214
"317549",CC-T,,"0",,30116.496612548828125,707.987471691001701,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,6964.37294469512
"317550",SR-V1,,"0",,586580.616241455078125,3640.367389974673188,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,136834.460224771
"317551",PD,,"0",,94734.960083007812500,1544.994537884278998,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,21983.0543732143
"317552",TR-U2,,"0",,68301.511505126953125,1096.744199488706499,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,15854.2235838854
"317553",CC,,"0",,8292626.945312500000000,32890.749745851680927,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,1929298.08663196
"317554",SR-C1,,"0",,35989.479705810546875,758.931638641693212,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,8302.41427285692
"317555",TR-C3,,"0",,48963.096618652343750,1393.761434379513048,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,11328.5745352092
"317556",TR-V2,,"0",,115226.583068847656250,2432.500832937233099,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,26691.3523867189
"317557",NMX,,"0",,72287.137939453125000,1088.887293617256091,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,16778.5346185462
"317558",TR-V1,,"0",,16870.584442138671875,524.783223820684498,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,3921.25347551259
"317559",TR-V2,,"0",,98447.968658447265625,1511.701003207128451,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,22751.1622387662
